SmasherID,SmashTag,BWeek1,BWeek2
226271,SU | wild flower,NAN,1
226595,TourGuide,4,4
229216,KaiKwonDo,NAN,4
232193,Chiefn_,11,15
232446,ash6,2,2
233059,Ribboned Ace,4,12
237282,Electroman,NAN,10
245346,SIMP | Vagab0nd,1,1
267849,TG | Mot$,155,155
268767,markrevival,1,1
269238,91,4,4
275922,Otto_Zone,NAN,10
276041,Kettering,NAN,1
279107,Khryke,49,49
327350,lochist,15,15
328736,SadSack,8,8
362459,SeshLord Ozai,NAN,5
378512,Khoron | Oreo,NAN,17
379542,Lee,NAN,1
466221,Melo,12,16
472971,yBaS | MaxJacks,1,1
491552,DannyPhantom,NAN,51
512704,Axis,5,5
519985,Marvelboy,5,5
530964,Heatedchaos,NAN,2
533918,Maelstrom,NAN,6
542693,Bbatts,18,83
552087,Kerblamu,NAN,10
581039,I'm Michael BTW,43,86
582190,rice,NAN,3
654514,probably high,NAN,1
657175,Bobakanoosh,4,4
657464,CowCowCowCowCow,NAN,4
657711,PurpleZ,1,1
694497,IMP | Ben,164,354
709843,Chem,10,10
725014,charmell0,3,9
725016,Dolfo,1,1
735376,CVSmashMods | Ripn,NAN,3
748365,ledgefiend,NAN,2
764680,STLTS,NAN,7
776417,GSG,NAN,1
834231,Jun,12,17
836691,BeanBurrito-San,5,5
875354,Penguin,1,1
928066,Kelpo,4,4
945542,KOA | youngbool,1,1
950362,EWA | ERGonomics,NAN,11
1013413,WFL | ABC,NAN,2
1053202,diddylonglegs,NAN,3
1077796,FreeHops,4,8
1081722,kaiyon,NAN,3
1149773,ali_,2,2
1194651,gsm | Pound,2,3
1248621,Anzeray,1,1
1278457,Rocket,48,48
1375808,Epoodle,6,80
1432189,nunoodle,1,1
1442352,BK_Rib,NAN,2
1451042,Deeb,4,4
1500084,Ariz,NAN,2
1562196,EagleOne,NAN,1
1598204,YoungHanSolo,3,3
1619463,Arctic,NAN,1
1640788,Special K,1,1
1658777,CrazyColtCory,NAN,2
1723399,jeddo,15,15
1796764,Mp drago,NAN,1
1871538,Not_DuduTsai,19,19
1918686,Analog,NAN,4
1918774,EWA | Gorgonzola,NAN,6
1940854,JoffDuchar,3,3
1944467,SUPERUNKNOWN,2,3
1946855,PRD | JMi,NAN,1
1957918,Cow,14,17
1966716,LewdCelebs4Free,6,6
1974127,aujory,2,6
1974143,Jeem,1,1
1989729,Nips,NAN,1
2004464,Rama,NAN,2
2029721,Ghost Rider,9,9
2041350,2rk | Turok,3,3
2084281,Keykey,3,3
2085246,kippu,NAN,4
2093540,RitzyCheese,3,3
2140092,Jet,2,2
2146437,HaxMoneyHulkHogan,1,1
2160161,GAS,7,7
2170469,Triple Cake Dance,5,8
2179108,Mud,16,16
2192126,NattyIce,1,4
2206263,nmble-mann,NAN,1
2215703,DiMaria,NAN,8
2242538,Erica,13,13
