SmasherID,SmashTag,BWeek1,BWeek2,BWeek3
138710,Golden,NAN,NAN,64.0
148736,GThree,NAN,NAN,1.0
149952,Jakespeare,NAN,11,11.0
151360,Inky,66,66,66.0
152754,Hood,NAN,NAN,4.0
156503,Beiker,NAN,NAN,3.0
156775,Chadwicc,NAN,NAN,15.0
157615,ight,NAN,5,5.0
157632,TurboThot,NAN,2,2.0
158213,LG | Louis,16,16,16.0
159198,Pi2z,5,5,5.0
171201,Mootook,NAN,15,15.0
173178,LAG,NAN,44,55.0
183677,Yamasaki,4,17,27.0
184457,MessiSTL,NAN,NAN,13.0
184637,Joey Donuts,NAN,30,96.0
185618,Captain G,NAN,2,2.0
211440,Darrell,3,20,39.0
213297,Chompy,9,9,13.0
219838,Lamb's Ear,NAN,4,10.0
221423,Typhoon,NAN,19,124.0
224897,AWaveDash,1,2,2.0
226271,SU | wild flower,NAN,1,1.0
226595,TourGuide,4,4,4.0
229216,KaiKwonDo,NAN,4,4.0
230537,hHerb,NAN,NAN,3.0
232193,Chiefn_,11,15,28.0
232446,ash6,2,2,2.0
233059,Ribboned Ace,4,12,12.0
237282,Electroman,NAN,10,13.0
245346,SIMP | Vagab0nd,1,1,3.0
252523,Dusky,NAN,NAN,4.0
254673,Layer,NAN,NAN,5.0
257324,GSP,NAN,NAN,8.0
267849,TG | Mot$,155,155,155.0
268767,markrevival,1,1,2.0
269238,91,4,4,4.0
269511,SquidTheCat,NAN,NAN,12.0
275922,Otto_Zone,NAN,10,10.0
276041,Kettering,NAN,1,1.0
278295,DadsAkimbo,NAN,NAN,7.0
279107,Khryke,49,49,49.0
283648,MDF | Amor,NAN,NAN,8.0
288395,jams,NAN,NAN,11.0
322324,maxi,NAN,NAN,3.0
327350,lochist,15,15,15.0
328736,SadSack,8,8,8.0
362459,SeshLord Ozai,NAN,5,5.0
368021,JitteryInChurch,NAN,NAN,12.0
378512,Khoron | Oreo,NAN,17,28.0
379542,Lee,NAN,1,1.0
423669,Wōlī,NAN,NAN,9.0
428826,ArcaneFox,NAN,NAN,4.0
466221,Melo,12,16,22.0
472971,yBaS | MaxJacks,1,1,1.0
491552,DannyPhantom,NAN,51,51.0
512704,Axis,5,5,5.0
519985,Marvelboy,5,5,5.0
524651,Schwifty | Sirjaxism,NAN,NAN,1.0
525553,jerma985,NAN,NAN,7.0
528737,3OutChange,NAN,NAN,3.0
530964,Heatedchaos,NAN,2,2.0
533918,Maelstrom,NAN,6,8.0
539984,Ahmad,NAN,NAN,27.0
542693,Bbatts,18,83,95.0
552087,Kerblamu,NAN,10,10.0
581039,I'm Michael BTW,43,86,105.0
581230,SmashMouthEgg,NAN,NAN,3.0
582190,rice,NAN,3,5.0
585248,magnumgunn3r,NAN,NAN,2.0
637179,Sodabro,NAN,NAN,2.0
638273,SKY | Matwood,NAN,NAN,8.0
654514,probably high,NAN,1,1.0
657175,Bobakanoosh,4,4,4.0
657464,CowCowCowCowCow,NAN,4,6.0
657711,PurpleZ,1,1,1.0
694497,IMP | Ben,164,354,441.0
709843,Chem,10,10,10.0
725014,charmell0,3,9,9.0
725016,Dolfo,1,1,2.0
735376,CVSmashMods | Ripn,NAN,3,3.0
748365,ledgefiend,NAN,2,2.0
764680,STLTS,NAN,7,7.0
776417,GSG,NAN,1,1.0
834231,Jun,12,17,17.0
836691,BeanBurrito-San,5,5,5.0
846125,Navedo,NAN,NAN,3.0
875354,Penguin,1,1,1.0
880372,Good1ife,NAN,NAN,12.0
928066,Kelpo,4,4,4.0
945542,KOA | youngbool,1,1,1.0
950362,EWA | ERGonomics,NAN,11,11.0
956568,Night,NAN,NAN,3.0
1013413,WFL | ABC,NAN,2,7.0
1016657,Kr1meM45ter2517A,NAN,NAN,5.0
1023611,[r] | U.S Marine,NAN,NAN,2.0
1053202,diddylonglegs,NAN,3,6.0
1077796,FreeHops,4,8,11.0
1081722,kaiyon,NAN,3,3.0
1149773,ali_,2,2,2.0
1194651,gsm | Pound,2,3,5.0
1222893,lol | Hero,NAN,NAN,4.0
1248621,Anzeray,1,1,1.0
1278457,Rocket,48,48,48.0
1290774,Honey Nut Cheerios,NAN,NAN,1.0
1375808,Epoodle,6,80,107.0
1432189,nunoodle,1,1,1.0
1442352,BK_Rib,NAN,2,4.0
1451042,Deeb,4,4,4.0
1465414,ruco,NAN,NAN,2.0
1466521,Floods,NAN,NAN,2.0
1500084,Ariz,NAN,2,2.0
1562196,EagleOne,NAN,1,1.0
1598204,YoungHanSolo,3,3,12.0
1619463,Arctic,NAN,1,1.0
1640788,Special K,1,1,2.0
1658777,CrazyColtCory,NAN,2,2.0
1723399,jeddo,15,15,15.0
1752009,djweav2k,NAN,NAN,1.0
1796764,Mp drago,NAN,1,2.0
1807916,Shlorp,NAN,NAN,2.0
1871538,Not_DuduTsai,19,19,19.0
1918686,Analog,NAN,4,5.0
1918774,EWA | Gorgonzola,NAN,6,6.0
1931842,tpyo,NAN,NAN,4.0
1940854,JoffDuchar,3,3,3.0
1942273,Fankriss,NAN,NAN,46.0
1944467,SUPERUNKNOWN,2,3,3.0
1946855,PRD | JMi,NAN,1,1.0
1957918,Cow,14,17,17.0
1966716,LewdCelebs4Free,6,6,6.0
1974127,aujory,2,6,10.0
1974143,Jeem,1,1,1.0
1989729,Nips,NAN,1,1.0
2004464,Rama,NAN,2,2.0
2029721,Ghost Rider,9,9,9.0
2041350,2rk | Turok,3,3,3.0
2084281,Keykey,3,3,3.0
2085246,kippu,NAN,4,4.0
2093540,RitzyCheese,3,3,3.0
2122811,$W@6 | rocketf20,NAN,NAN,1.0
2139952,Boalisk,NAN,NAN,1.0
2140092,Jet,2,2,2.0
2146437,actually hmhh | LionTimeMachine,1,1,13.0
2148920,thicceon,NAN,NAN,10.0
2160161,GAS,7,7,7.0
2170469,Triple Cake Dance,5,8,8.0
2179108,Mud,16,16,28.0
2192126,NattyIce,1,4,5.0
2194031,Dorian uwu,NAN,NAN,1.0
2206263,nmble-mann,NAN,1,1.0
2215703,DiMaria,NAN,8,14.0
2233473,fssong,NAN,NAN,3.0
2242538,Erica,13,13,13.0
2251343,ClintStevensTV | HungryboxFan304,NAN,NAN,12.0
