SmasherID,SmashTag,BWeek1,BWeek2,BWeek3,BWeek4,BWeek5,BWeek6,BWeek7
22479,Rei,NAN,NAN,NAN,NAN,53.0,53.0,53.0
22595,Aura,9,10,17.0,17.0,17.0,44.0,49.0
23207,veil,NAN,NAN,NAN,NAN,4.0,21.0,21.0
23422,ZimD00D,NAN,20,20.0,20.0,20.0,20.0,20.0
23501,Ratt,1,1,3.0,3.0,3.0,3.0,3.0
23920,GHQ | Zamu,NAN,NAN,NAN,NAN,NAN,NAN,163.0
23995,Forrest,7,7,7.0,7.0,7.0,7.0,7.0
25351,Hell'sLabyrinth,1,1,6.0,18.0,22.0,22.0,22.0
25463,Creature,NAN,NAN,NAN,5.0,5.0,5.0,5.0
25478,Maruf,NAN,NAN,19.0,19.0,45.0,45.0,45.0
25810,Melee Stats | Pikachu942,2,2,2.0,2.0,2.0,2.0,2.0
25916,redpandamaster,17,17,17.0,17.0,17.0,17.0,17.0
26004,Kyler,NAN,NAN,NAN,7.0,7.0,7.0,7.0
26187,Slowking,NAN,NAN,54.0,54.0,54.0,54.0,54.0
26289,Trill Jake,NAN,NAN,NAN,NAN,6.0,6.0,6.0
26387,Phantom Airline,4,4,4.0,23.0,23.0,34.0,34.0
26574,NEU | Shmeeli,NAN,NAN,NAN,55.0,55.0,55.0,55.0
26750,KoDoRiN,216,434,623.0,623.0,730.0,838.0,838.0
26920,Trash,1,1,1.0,1.0,1.0,1.0,1.0
26934,Clay,NAN,NAN,NAN,NAN,NAN,1.0,1.0
27524,JustRhett,NAN,NAN,1.0,2.0,2.0,2.0,2.0
27547,TSBO | HateSauce,NAN,NAN,NAN,NAN,2.0,2.0,2.0
27638,Panda,NAN,NAN,NAN,NAN,NAN,NAN,19.0
27754,Chummi,NAN,NAN,NAN,NAN,NAN,NAN,7.0
27862,Musashi,NAN,NAN,NAN,NAN,NAN,NAN,46.0
28391,Vigilance,NAN,NAN,NAN,8.0,8.0,8.0,8.0
28793,Light,NAN,NAN,NAN,36.0,55.0,55.0,55.0
28815,doctahdylan,NAN,NAN,NAN,NAN,NAN,3.0,3.0
29103,Hexjo,NAN,NAN,NAN,NAN,NAN,NAN,9.0
29405,Vianny,NAN,NAN,14.0,14.0,22.0,22.0,22.0
29840,TBD,21,52,52.0,72.0,72.0,72.0,72.0
30804,Frap,13,25,39.0,39.0,47.0,59.0,67.0
30913,SHwang,NAN,NAN,NAN,NAN,NAN,NAN,11.0
31487,Winx Club | Siddward,12,12,24.0,100.0,109.0,116.0,125.0
32201,PRIN$E,NAN,12,12.0,12.0,22.0,33.0,76.0
32691,Blitzkrieg,2,2,2.0,2.0,2.0,2.0,5.0
33458,RustyTrombone,NAN,NAN,8.0,15.0,26.0,26.0,26.0
34399,BuenasRetas | Cobs,NAN,4,10.0,14.0,18.0,21.0,22.0
34694,flthd | flatline,2,2,2.0,2.0,2.0,2.0,2.0
34804,Barry Allen,NAN,NAN,1.0,1.0,1.0,1.0,1.0
34893,Zoma,NAN,NAN,NAN,NAN,NAN,NAN,11.0
34902,Tanooki,9,9,9.0,9.0,9.0,9.0,9.0
35192,Robert Flambe,NAN,NAN,NAN,NAN,NAN,4.0,4.0
35258,LFG | Fist Mexico,NAN,4,17.0,30.0,37.0,37.0,37.0
37116,GUG | Kurv,7,7,7.0,7.0,213.0,249.0,352.0
37223,PEP | Sp1nda,NAN,NAN,NAN,NAN,18.0,35.0,35.0
37975,Zellpree,NAN,NAN,NAN,NAN,NAN,1.0,10.0
38643,RedX,5,5,8.0,18.0,28.0,37.0,40.0
38979,Tristan's Rule,NAN,NAN,NAN,NAN,NAN,20.0,20.0
39235,Dream,NAN,95,95.0,95.0,95.0,99.0,99.0
40399,Elders React | Third Strongest,NAN,NAN,NAN,10.0,10.0,10.0,10.0
40793,MGFC | bootichief,4,20,34.0,45.0,64.0,64.0,64.0
41055,jacket,51,73,73.0,73.0,73.0,73.0,73.0
41374,Anchovy,NAN,21,39.0,39.0,39.0,39.0,39.0
45236,Lime,NAN,NAN,NAN,NAN,26.0,35.0,35.0
45356,OtES,NAN,5,14.0,14.0,15.0,15.0,15.0
45444,Kaz,NAN,NAN,NAN,6.0,6.0,6.0,6.0
45726,CS | Faust,NAN,NAN,11.0,11.0,11.0,11.0,11.0
46752,doby,NAN,NAN,NAN,NAN,NAN,NAN,6.0
47497,Ellis,NAN,9,31.0,42.0,55.0,55.0,55.0
47650,shoelegend88,2,2,7.0,13.0,13.0,22.0,33.0
47752,p3achyjr,NAN,NAN,NAN,NAN,NAN,6.0,6.0
47866,Erik,NAN,NAN,NAN,53.0,53.0,53.0,53.0
48322,AHHHHH | Climbers Alice,NAN,2,2.0,2.0,2.0,2.0,2.0
48578,LoneCubone,NAN,NAN,NAN,NAN,NAN,3.0,3.0
48946,E,NAN,NAN,NAN,21.0,21.0,21.0,21.0
49875,Paladin,NAN,32,45.0,82.0,82.0,84.0,84.0
50053,PML | Die222,NAN,NAN,NAN,14.0,35.0,48.0,55.0
50259,BLE | SluG,NAN,NAN,NAN,NAN,177.0,177.0,177.0
50937,Wumbo,2,2,2.0,2.0,2.0,2.0,2.0
51055,MIT | unlucky,NAN,NAN,6.0,6.0,6.0,6.0,6.0
51076,Power Kevin,1,1,3.0,3.0,3.0,3.0,3.0
51112,Pilgrim,NAN,NAN,NAN,5.0,5.0,5.0,5.0
51373,prof,75,75,75.0,75.0,75.0,75.0,75.0
51464,UCLA | Suvir,NAN,NAN,NAN,NAN,8.0,8.0,8.0
53365,Ringler,NAN,NAN,NAN,NAN,73.0,73.0,73.0
53839,Poopy Ass,NAN,NAN,NAN,NAN,NAN,5.0,5.0
54556,KillThePast | bebul,NAN,NAN,NAN,3.0,3.0,3.0,3.0
60696,FM | Cilan,3,3,3.0,3.0,3.0,3.0,6.0
61570,CG | Peppi | Pappi,116,116,116.0,116.0,116.0,287.0,315.0
61897,LSD,NAN,144,144.0,144.0,144.0,144.0,144.0
62320,KayB,NAN,NAN,NAN,NAN,6.0,6.0,6.0
62457,QTT | Yeyo,NAN,NAN,NAN,6.0,6.0,9.0,13.0
62721,Dirty Lasagna,NAN,NAN,NAN,NAN,NAN,18.0,18.0
63581,CableKnit,NAN,NAN,4.0,6.0,6.0,6.0,6.0
63772,Fern,NAN,10,15.0,25.0,29.0,33.0,37.0
63940,Weeg,NAN,NAN,16.0,16.0,16.0,16.0,16.0
64574,Zamorota,NAN,NAN,NAN,9.0,9.0,9.0,9.0
64692,Blues Clues,76,101,172.0,311.0,400.0,497.0,497.0
65598,rickey_kc,NAN,NAN,NAN,NAN,2.0,2.0,2.0
65777,bobby big ballz,NAN,NAN,112.0,112.0,250.0,250.0,357.0
66311,zilo,NAN,NAN,NAN,NAN,NAN,9.0,9.0
68261,Azel,NAN,NAN,NAN,NAN,NAN,73.0,144.0
69699,Smeedot,NAN,NAN,NAN,1.0,2.0,2.0,2.0
69921,Furniture,NAN,NAN,NAN,NAN,NAN,NAN,28.0
70110,Buttlet,NAN,NAN,NAN,19.0,42.0,42.0,42.0
70458,PEPIS | Noire,NAN,NAN,66.0,134.0,233.0,254.0,254.0
103305,Dr. Lame,11,11,11.0,11.0,11.0,11.0,11.0
127997,CW | rabit!,NAN,NAN,4.0,31.0,32.0,32.0,32.0
128898,Zhaoshu,NAN,5,5.0,5.0,5.0,5.0,8.0
129344,totally butts,NAN,19,19.0,19.0,19.0,19.0,19.0
129363,Flow | ESPONJA,12,19,33.0,33.0,33.0,44.0,44.0
130672,Soltrain,NAN,8,8.0,16.0,16.0,16.0,25.0
131130,Leyo,NAN,NAN,4.0,4.0,4.0,4.0,4.0
132938,RU | Midnight Blue,12,12,29.0,29.0,29.0,46.0,46.0
133666,404 YC | Salt,NAN,NAN,NAN,NAN,63.0,183.0,280.0
134823,QTT | Pelon,NAN,NAN,NAN,NAN,3.0,8.0,8.0
135088,LFG | PanterA,NAN,NAN,22.0,74.0,74.0,74.0,74.0
135091,GS | SubTails,NAN,NAN,NAN,21.0,35.0,35.0,35.0
135795,cockbread,NAN,NAN,NAN,15.0,35.0,45.0,45.0
136990,Holy | key,NAN,6,6.0,15.0,15.0,15.0,15.0
137480,Jpeg | RC,NAN,NAN,NAN,16.0,57.0,57.0,57.0
138710,Golden,NAN,NAN,64.0,64.0,180.0,196.0,196.0
144133,YBBT | leroydankins,NAN,NAN,NAN,6.0,11.0,15.0,15.0
145075,blazerboy,NAN,NAN,NAN,1.0,1.0,2.0,2.0
146978,Ding Hing,NAN,NAN,NAN,NAN,16.0,26.0,37.0
147424,Spiral Cafe | Krudo,NAN,NAN,NAN,NAN,NAN,8.0,8.0
147811,Dawson,NAN,NAN,NAN,NAN,NAN,38.0,112.0
148028,Navjyot Sandhu | Connect4Master,NAN,NAN,NAN,14.0,14.0,14.0,14.0
148200,Big Pivot,NAN,NAN,NAN,NAN,NAN,1.0,7.0
148736,GThree,NAN,NAN,1.0,1.0,1.0,1.0,1.0
149952,Jakespeare,NAN,11,11.0,11.0,11.0,11.0,11.0
150123,TPN,NAN,NAN,NAN,NAN,NAN,10.0,76.0
151306,Zephyr,NAN,NAN,NAN,NAN,NAN,NAN,20.0
151360,Inky,66,66,66.0,66.0,66.0,66.0,66.0
152060,Vent,NAN,NAN,NAN,4.0,7.0,7.0,7.0
152754,Hood,NAN,NAN,4.0,4.0,4.0,5.0,5.0
152800,wally,NAN,NAN,NAN,4.0,4.0,4.0,4.0
153138,ZouL,NAN,NAN,NAN,1.0,1.0,1.0,1.0
153334,Silkylaroux,NAN,NAN,NAN,5.0,5.0,5.0,5.0
154507,HOT TUB | signifyisdumb,NAN,NAN,NAN,NAN,NAN,NAN,5.0
156503,Beiker,NAN,NAN,3.0,3.0,3.0,3.0,3.0
156775,Chadwicc,NAN,NAN,15.0,15.0,15.0,15.0,15.0
157615,ight,NAN,5,5.0,5.0,5.0,5.0,5.0
157632,TurboThot,NAN,2,2.0,2.0,2.0,11.0,11.0
158003,Mono,NAN,NAN,NAN,NAN,NAN,NAN,2.0
158213,LG | Louis,16,16,16.0,16.0,16.0,16.0,16.0
158524,Oferton,NAN,NAN,NAN,14.0,14.0,14.0,14.0
159198,Pi2z,5,5,5.0,5.0,5.0,5.0,5.0
171201,Mootook,NAN,15,15.0,15.0,15.0,15.0,15.0
172811,CS | Amity,NAN,NAN,NAN,NAN,NAN,NAN,4.0
173178,LAG,NAN,44,55.0,151.0,151.0,151.0,151.0
175446,DJAN,NAN,NAN,NAN,NAN,1.0,1.0,2.0
175870,ÆRO,NAN,NAN,NAN,NAN,10.0,10.0,10.0
180797,Cpt.Blade,NAN,NAN,NAN,3.0,3.0,3.0,3.0
181689,Hell Kaiser,NAN,NAN,NAN,15.0,15.0,15.0,15.0
182963,CILLGOD,NAN,NAN,NAN,NAN,NAN,NAN,3.0
183677,Yamasaki,4,17,27.0,36.0,39.0,39.0,50.0
184457,MessiSTL,NAN,NAN,13.0,18.0,18.0,21.0,21.0
184545,Pulch,NAN,NAN,NAN,NAN,9.0,14.0,14.0
184637,Joey Donuts,NAN,30,96.0,123.0,150.0,150.0,150.0
185013,Habi,NAN,NAN,NAN,11.0,11.0,11.0,11.0
185618,Captain G,NAN,2,2.0,2.0,2.0,2.0,2.0
185620,Usernamejpg,NAN,NAN,NAN,5.0,5.0,5.0,5.0
205873,Funktrocious,NAN,NAN,NAN,NAN,5.0,7.0,7.0
211440,Darrell,3,20,39.0,47.0,66.0,86.0,106.0
212497,twitch.tv | emu50,NAN,NAN,NAN,NAN,NAN,NAN,3.0
213297,Chompy,9,9,13.0,17.0,20.0,30.0,30.0
219838,Lamb's Ear,NAN,4,10.0,13.0,15.0,15.0,15.0
221136,Zeeker,NAN,NAN,NAN,NAN,NAN,9.0,9.0
221423,Typhoon,NAN,19,124.0,124.0,124.0,124.0,124.0
224897,AWaveDash,1,2,2.0,2.0,2.0,2.0,2.0
226271,SU | wild flower,NAN,1,1.0,1.0,1.0,1.0,1.0
226595,TourGuide,4,4,4.0,6.0,6.0,6.0,6.0
229216,KaiKwonDo,NAN,4,4.0,9.0,9.0,9.0,9.0
229925,Happy,NAN,NAN,NAN,3.0,3.0,3.0,3.0
230122,vampa,NAN,NAN,NAN,10.0,19.0,19.0,19.0
230350,AR0,NAN,NAN,NAN,NAN,NAN,NAN,6.0
230537,hHerb,NAN,NAN,3.0,6.0,6.0,6.0,6.0
232193,Chiefn_,11,15,28.0,38.0,43.0,49.0,60.0
232446,ash6,2,2,2.0,2.0,2.0,4.0,4.0
233059,Ribboned Ace,4,12,12.0,13.0,13.0,13.0,13.0
237282,Electroman,NAN,10,13.0,13.0,13.0,13.0,13.0
241260,Alex18+,NAN,NAN,NAN,NAN,NAN,NAN,12.0
245069,PALS | Jello,NAN,NAN,NAN,NAN,NAN,73.0,73.0
245152,emy,NAN,NAN,NAN,NAN,NAN,12.0,25.0
245346,SIMP | Vagab0nd,1,1,3.0,3.0,3.0,4.0,4.0
245795,TR | H,NAN,NAN,NAN,4.0,4.0,4.0,4.0
252523,Dusky,NAN,NAN,4.0,6.0,6.0,8.0,8.0
252543,LG | Yu,NAN,NAN,NAN,104.0,104.0,104.0,104.0
252656,DERT | Petra,NAN,NAN,NAN,NAN,1.0,1.0,1.0
254673,Layer,NAN,NAN,5.0,8.0,8.0,8.0,8.0
257324,GSP,NAN,NAN,8.0,17.0,17.0,17.0,17.0
259856,Seraph,NAN,NAN,NAN,NAN,11.0,11.0,11.0
267849,TG | Mot$,155,155,155.0,155.0,155.0,155.0,155.0
268767,markrevival,1,1,2.0,2.0,2.0,3.0,4.0
269238,91,4,4,4.0,4.0,4.0,4.0,4.0
269511,SquidTheCat,NAN,NAN,12.0,18.0,18.0,24.0,28.0
275922,Otto_Zone,NAN,10,10.0,10.0,10.0,10.0,10.0
276041,Kettering,NAN,1,1.0,1.0,1.0,1.0,1.0
276973,Red,NAN,NAN,NAN,5.0,5.0,5.0,5.0
277060,Cuk | Veths,NAN,NAN,NAN,1.0,1.0,1.0,1.0
277309,DPMZ,NAN,NAN,NAN,NAN,NAN,NAN,6.0
278295,DadsAkimbo,NAN,NAN,7.0,17.0,17.0,17.0,19.0
279107,Khryke,49,49,49.0,49.0,49.0,49.0,49.0
279722,Justus,NAN,NAN,NAN,NAN,NAN,28.0,28.0
283648,MDF | Amor,NAN,NAN,8.0,8.0,8.0,8.0,8.0
287526,MacTheStampede,NAN,NAN,NAN,NAN,NAN,2.0,2.0
288395,jams,NAN,NAN,11.0,28.0,33.0,33.0,33.0
322324,maxi,NAN,NAN,3.0,3.0,3.0,3.0,3.0
326727,Frumentarii,NAN,NAN,NAN,NAN,NAN,4.0,14.0
327212,IWI | Marrgasm,NAN,NAN,NAN,NAN,NAN,7.0,7.0
327350,lochist,15,15,15.0,15.0,15.0,15.0,15.0
328736,SadSack,8,8,8.0,8.0,8.0,8.0,8.0
354953,RPG,NAN,NAN,NAN,NAN,NAN,NAN,10.0
360229,BEBO,NAN,NAN,NAN,NAN,NAN,2.0,2.0
362459,SeshLord Ozai,NAN,5,5.0,5.0,5.0,5.0,5.0
368021,JitteryInChurch,NAN,NAN,12.0,12.0,12.0,12.0,12.0
368847,SS | Julio,NAN,NAN,NAN,NAN,NAN,NAN,1.0
378512,Khoron | Oreo,NAN,17,28.0,28.0,28.0,28.0,28.0
379419,Zab,NAN,NAN,NAN,17.0,31.0,39.0,39.0
379542,Lee,NAN,1,1.0,1.0,1.0,1.0,1.0
413573,John,NAN,NAN,NAN,NAN,NAN,NAN,10.0
423669,Wōlī,NAN,NAN,9.0,9.0,9.0,9.0,9.0
428826,ArcaneFox,NAN,NAN,4.0,10.0,16.0,22.0,29.0
448153,Neenor,NAN,NAN,NAN,NAN,5.0,49.0,49.0
450784,Fredrick,NAN,NAN,NAN,8.0,8.0,8.0,8.0
466221,Melo,12,16,22.0,22.0,34.0,56.0,68.0
472971,yBaS | MaxJacks,1,1,1.0,1.0,1.0,1.0,1.0
491552,DannyPhantom,NAN,51,51.0,51.0,51.0,51.0,51.0
492755,BoffTarget,NAN,NAN,NAN,5.0,10.0,15.0,27.0
495213,Banger,NAN,NAN,NAN,11.0,16.0,16.0,16.0
507912,Top Shelf | Dulbasaur,NAN,NAN,NAN,NAN,NAN,NAN,11.0
508967,Goosekhan,NAN,NAN,NAN,NAN,NAN,NAN,17.0
512704,Axis,5,5,5.0,5.0,5.0,7.0,7.0
519779,NJ | Tommy,NAN,NAN,NAN,17.0,17.0,17.0,17.0
519985,Marvelboy,5,5,5.0,5.0,6.0,10.0,10.0
524651,Schwifty | Sirjaxism,NAN,NAN,1.0,3.0,5.0,5.0,5.0
524896,LEVO | Mento,NAN,NAN,NAN,NAN,3.0,3.0,3.0
525553,jerma985,NAN,NAN,7.0,7.0,7.0,7.0,7.0
528737,3OutChange,NAN,NAN,3.0,7.0,7.0,16.0,16.0
530964,Heatedchaos,NAN,2,2.0,2.0,2.0,2.0,2.0
533918,Maelstrom,NAN,6,8.0,8.0,14.0,14.0,23.0
538935,Jangu,NAN,NAN,NAN,NAN,NAN,NAN,4.0
539984,Ahmad,NAN,NAN,27.0,27.0,45.0,57.0,85.0
542693,Bbatts,18,83,95.0,95.0,95.0,191.0,217.0
552087,Kerblamu,NAN,10,10.0,10.0,10.0,10.0,10.0
581039,I'm Michael BTW,43,86,105.0,112.0,112.0,150.0,150.0
581230,SmashMouthEgg,NAN,NAN,3.0,3.0,3.0,3.0,4.0
582190,rice,NAN,3,5.0,6.0,6.0,7.0,10.0
585248,magnumgunn3r,NAN,NAN,2.0,2.0,2.0,2.0,2.0
592660,aL0w,NAN,NAN,NAN,2.0,2.0,2.0,2.0
598192,Pena,NAN,NAN,NAN,10.0,14.0,25.0,25.0
608505,2ndLaw,NAN,NAN,NAN,7.0,19.0,19.0,19.0
617254,N8v,NAN,NAN,NAN,NAN,3.0,6.0,6.0
637179,Sodabro,NAN,NAN,2.0,45.0,45.0,45.0,45.0
638273,SKY | Matwood,NAN,NAN,8.0,19.0,26.0,40.0,40.0
654514,probably high,NAN,1,1.0,5.0,5.0,5.0,5.0
657175,Bobakanoosh,4,4,4.0,4.0,4.0,9.0,9.0
657464,CowCowCowCowCow,NAN,4,6.0,11.0,11.0,11.0,11.0
657711,PurpleZ,1,1,1.0,19.0,19.0,19.0,19.0
682345,Rive,NAN,NAN,NAN,8.0,8.0,8.0,8.0
684008,deep_cuts,NAN,NAN,NAN,2.0,3.0,5.0,6.0
691112,JMONEY,NAN,NAN,NAN,3.0,3.0,3.0,4.0
694497,IMP | Ben,164,354,441.0,656.0,656.0,712.0,903.0
709843,Chem,10,10,10.0,10.0,10.0,21.0,21.0
710975,Keo,NAN,NAN,NAN,NAN,NAN,19.0,40.0
725014,charmell0,3,9,9.0,11.0,16.0,16.0,16.0
725016,Dolfo,1,1,2.0,2.0,2.0,2.0,2.0
732665,Lama,NAN,NAN,NAN,NAN,NAN,NAN,2.0
735376,CVSmashMods | Ripn,NAN,3,3.0,3.0,15.0,15.0,15.0
748365,ledgefiend,NAN,2,2.0,4.0,4.0,6.0,7.0
764680,STLTS,NAN,7,7.0,7.0,7.0,7.0,7.0
776417,GSG,NAN,1,1.0,1.0,1.0,1.0,1.0
834231,Jun,12,17,17.0,17.0,17.0,17.0,17.0
835179,Koe | Nike,NAN,NAN,NAN,1.0,1.0,1.0,1.0
836691,BeanBurrito-San,5,5,5.0,5.0,5.0,5.0,5.0
841539,Alpaca,NAN,NAN,NAN,NAN,NAN,1.0,1.0
846125,Navedo,NAN,NAN,3.0,5.0,5.0,5.0,5.0
875354,Penguin,1,1,1.0,1.0,1.0,1.0,1.0
880372,Good1ife,NAN,NAN,12.0,12.0,12.0,12.0,12.0
887010,Rockin,NAN,NAN,NAN,NAN,NAN,NAN,17.0
890721,Mr. Butterfly,NAN,NAN,NAN,NAN,NAN,20.0,20.0
906300,ilovedenmark69,NAN,NAN,NAN,NAN,NAN,1.0,1.0
920546,Gewl,NAN,NAN,NAN,4.0,4.0,4.0,4.0
925836,Ashley,NAN,NAN,NAN,1.0,1.0,1.0,3.0
928066,Kelpo,4,4,4.0,4.0,4.0,4.0,4.0
945542,KOA | youngbool,1,1,1.0,1.0,1.0,1.0,1.0
950362,EWA | ERGonomics,NAN,11,11.0,11.0,11.0,18.0,18.0
956568,Night,NAN,NAN,3.0,3.0,3.0,3.0,3.0
1013413,WFL | ABC,NAN,2,7.0,7.0,7.0,7.0,7.0
1016657,Kr1meM45ter2517A,NAN,NAN,5.0,5.0,7.0,7.0,7.0
1023611,U.S Marine,NAN,NAN,2.0,9.0,9.0,9.0,9.0
1026815,Sakm,NAN,NAN,NAN,NAN,10.0,16.0,25.0
1034371,niimo,NAN,NAN,NAN,NAN,3.0,3.0,3.0
1053040,UNCO | Neur0n,NAN,NAN,NAN,1.0,1.0,1.0,2.0
1053202,diddylonglegs,NAN,3,6.0,6.0,6.0,13.0,13.0
1065475,Muffin,NAN,NAN,NAN,5.0,5.0,5.0,5.0
1071935,Teva,NAN,NAN,NAN,NAN,1.0,1.0,1.0
1077796,FreeHops,4,8,11.0,23.0,23.0,25.0,28.0
1081722,kaiyon,NAN,3,3.0,3.0,3.0,3.0,3.0
1149773,ali_,2,2,2.0,2.0,2.0,2.0,2.0
1171263,PYR,NAN,NAN,NAN,NAN,NAN,6.0,6.0
1194651,gsm | Pound,2,3,5.0,7.0,7.0,7.0,12.0
1222140,mangine,NAN,NAN,NAN,NAN,NAN,NAN,9.0
1222893,lol | Hero,NAN,NAN,4.0,4.0,4.0,4.0,4.0
