Character,Rank,SmashTag
Fox,110.0,YBBT | leroydankins
Fox,110.0,Milo
Fox,119.0,DHB | IggyNieves
Fox,144.0,TurboThot
Fox,144.0,olé
Fox,151.0,adamaggy
Fox,156.0,OtES
Fox,179.0,eh | sickø
Fox,179.0,Troy
Fox,179.0,Stone
Fox,196.0,Lust
Fox,196.0,CID
Fox,217.0,Blue Jay
Fox,234.0,flowjam
Fox,234.0,Hellraid
Fox,234.0,Sleeepy
Fox,234.0,ACAB | Mugen
Peach,8.0,SANS | Blues Clues
Peach,56.0,GST | Ryobeat
Peach,90.0,Soltrain
Peach,196.0,punished | gelp
Peach,196.0,Futz
Peach,234.0,8167263631 | Notto
MidTiers,34.0,CowCowCowCowCow
MidTiers,68.0,QoT | Cruelscotty
MidTiers,75.0,Travy
MidTiers,75.0,billybopeep
MidTiers,94.0,STP
MidTiers,94.0,ycz6
MidTiers,137.0,Maruf
MidTiers,137.0,Denzill
MidTiers,151.0,Strazz
MidTiers,168.0,Sporsinick
MidTiers,168.0,TNC | n3zModGod
MidTiers,168.0,Miranda
MidTiers,168.0,BCM | veggies
MidTiers,179.0,K.H.D | Reign
MidTiers,189.0,jams
MidTiers,196.0,snek
MidTiers,196.0,Special K
MidTiers,210.0,Doctor Dank
MidTiers,234.0,Afron
Other,26.0,LAG
Other,27.0,Young
Other,41.0,AlyJ
Other,44.0,ePG | Chevy
Other,62.0,Vish
Other,65.0,USF | Quadae
Other,67.0,RedX
Other,89.0,Typhoon
Other,90.0,Elysian
Other,94.0,Chewy
Other,100.0,8-bit | dansdaman
Other,103.0,Hunybear
Other,103.0,Gaz
Other,109.0,noChill
Other,110.0,2Framez
Other,110.0,thesiscat
Other,128.0,Zave
Other,128.0,codeman
Other,128.0,Phorox
Other,137.0,Mounir
Other,144.0,Rozu
Other,156.0,ManRay
Other,168.0,Penguis
Other,168.0,Hamburglar
Other,179.0,Drewski
Other,189.0,Eastwood
Other,196.0,SRN | Soulrifle211
Other,196.0,jtetter
Other,196.0,gbio
Other,210.0,Night
Other,217.0,JCobbs
Other,217.0,ButterRoyaleTV
Other,217.0,Ringler
Other,217.0,BEBO
Other,234.0,Badboi
Other,234.0,Tomz
Other,234.0,Snoos
